Account,Name,Description
331308,NICK YOUR STAY PROMO,Room revenue for nickelodeon merchandise
361009,UNASSIGNED ROOM REVENUE,GPMS Room Revenue Suspense
361011,RATE ADJUSTMENT,Rate adjustment - Rooms Business Transient
361011,TRANSIENT SALES,Room revenue for business related travel
361011,TRANSIENT SALES,Room revenue for pleasure related travel
361011,RATE ADJUSTMENT,Rate adjustment - Rooms Business Transient
361051,PENTHOUSE -LONG TERM,Room revenue for Penthouse Long Term (30+) / (Tier 4)
361052,STUDIO - LONG TERM,Room revenue for Studio Long Term (30+) / (Tier 4)
361053,PENTHOUSE TRANSIENT - LONG TERM,Room revenue for Penthouse Long Term (30+) / (Tier 4)
361054,STUDIO TRANSIENT - LONG TERM,Room revenue for Studio Long Term (30+) / (Tier 4)
361055,PENTHOUSE - LONG TERM,Room revenue for Penthouse Long Term (30+) / (Tier 4)
361056,STUDIO - LONG TERM,Room revenue for Studio Long Term (30+) / (Tier 4)
361061,PENTHOUSE -MID TERM,Room revenue for Penthouse Mid Term (12-29) / (Tier 3)
361062,STUDIO - MIDTERM,Room revenue for Studio Mid Term (12-29) / (Tier 3)
361063,PENTHOUSE -MID TERM,Room revenue for Penthouse Mid Term (12-29) / (Tier 3)
361064,STUDIO - MIDTERM,Room revenue for Studio Mid Term (12-29) / (Tier 3)
361065,PENTHOUSE -MID TERM,Room revenue for Penthouse Mid Term (12-29) / (Tier 3)
361066,STUDIO - MIDTERM,Room revenue for Studio Mid Term (12-29) / (Tier 3)
361071,PENTHOUSE MID-SHORT TERM 5-6,Room revenue for Penthouse Mid/Short Term (5-11) / (Tier 2)
361072,STUDIO MID-SHORT TERM 5-6,Room revenue for Studio Mid/Short Term (5-11) / (Tier 2)
361073,PENTHOUSE MID-SHORT TERM 5-6,Room revenue for Penthouse Mid/Short Term (5-11) / (Tier 2)
361074,STUDIO MID-SHORT TERM 5-6,Room revenue for Studio Mid/Short Term (5-11) / (Tier 2)
361075,PENTHOUSE MID-SHORT TERM 5-6,Room revenue for Penthouse Mid/Short Term (5-11) / (Tier 2)
361076,STUDIO MID-SHORT TERM 5-6,Room revenue for Studio Mid/Short Term (5-11) / (Tier 2)
361081,PENTHOUSE -SHORT TERM,Room revenue for Penthouse Short Term (1-4) / (Tier 1)
361082,STUDIO - SHORT TERM,Room revenue for Studio Short Term (1-4) / (Tier 1)
361083,PENTHOUSE -SHORT TERM,Room revenue for Penthouse Short Term (1-4) / (Tier 1)
361084,STUDIO - SHORT TERM,Room revenue for Studio Short Term (1-4) / (Tier 1)
361085,PENTHOUSE -SHORT TERM,Room revenue for Penthouse Short Term (1-4) / (Tier 1)
361086,STUDIO - SHORT TERM,Room revenue for Studio Short Term (1-4) / (Tier 1)
361203,PART DAY REV,Room revenue for Part Day Room Charges
361203,PART DAY REV,Room rebate for Part Day Room Charges
361204,GUARANTEED NO SHOW,Room revenue for Guaranteed No Show guests
361318,ROOM CHARGE-LEASE/CONTR,Room revenue for contract business.
361318,SPEC CORP SUN-THUR,"Room revenue for special promotions (holiday rate, etc.)"
361334,ROOM CHARGE-GROUPS,Room revenue for Group related room charges.
361522,COMP NIGHT VOUCHER REVPAR ADJ,Comp Night Voucher Revpar Adjustments (Salt Lake City entry only)
361902,MR REIMBURSEMENTS,Reimbursements for Marriott Rewards Activity (CORPORATE USE ONLY)
361903,PACKAGE REBATES,"Room rebate for Promotional Discounts ($10 Off, etc.)"
361904,GUARANTEED NO SHOW REBATE,Room rebate for Guaranteed No Show
361905,PROMOTIONAL REBATE,Room rebate for Marriott Rewards Certificate
361908,MR ANYTIME REIMBURSEMENT,Reimbursements for Marriott Rewards Anytime Activity (CORPORATE USE ONLY)
361909,MR OCCUPANCY PREMIUM,Marriott Rewards incremental reimbursement amount received by the hotel over the blended rate on nights when occupancy thresholds are met.
361945,GROUP REBATE,Room rebate for Group Sales
361951,TRANSIENT REBATE,Room rebate for Business Transient
361951,TRANSIENT REBATE,Room rebate for Escape Package
361951,TRANSIENT REBATE,Room rebate for Penthouse Long Term (30+) / (Tier 4)
361951,TRANSIENT REBATE,Room rebate for Pleasure Transient
361951,TRANSIENT REBATE,"Room rebate for special promotions (holiday rate, etc.)"
361952,STUDIO LONG TERM ADJ,Room rebate for Studio Long Term (30+) / (Tier 4)
361953,PENTHOUSE LONG TERM ADJ,Room rebate for Penthouse Long Term (30+) / (Tier 4)
361954,STUDIO LONG TERM ADJ,Room rebate for Studio Long Term (30+) / (Tier 4)
361955,PENTHOUSE LONG TERM ADJ,Room rebate for Penthouse Long Term (30+) / (Tier 4)
361956,STUDIO LONG TERM ADJ,Room rebate for Studio Long Term (30+) / (Tier 4)
361961,PENTHOUSE MID TERM ADJ,Room rebate for Penthouse Mid Term (12-29) / (Tier 3)
361962,STUDIO MID TERM ADJ,Room rebate for Studio Mid Term (12-29) / (Tier 3)
361963,PENTHOUSE MID TERM ADJ,Room rebate for Penthouse Mid Term (12-29) / (Tier 3)
361964,STUDIO MID TERM ADJ,Room rebate for Studio Mid Term (12-29) / (Tier 3)
361965,PENTHOUSE MID TERM ADJ,Room rebate for Penthouse Mid Term (12-29) / (Tier 3)
361966,STUDIO MID TERM ADJ,Room rebate for Studio Mid Term (12-29) / (Tier 3)
361971,PENTHOUSE MID TERM ADJ,Room rebate for Penthouse Mid/Short Term (5-11) / (Tier 2)
361972,STUDIO MID TERM ADJ,Room rebate for Studio Mid/Short Term (5-11) / (Tier 2)
361973,PENTHOUSE MID TERM ADJ,Room rebate for Penthouse Mid/Short Term (5-11) / (Tier 2)
361974,STUDIO MID TERM ADJ,Room rebate for Studio Mid/Short Term (5-11) / (Tier 2)
361975,PENTHOUSE MID TERM ADJ,Room rebate for Penthouse Mid/Short Term (5-11) / (Tier 2)
361976,STUDIO MID TERM ADJ,Room rebate for Studio Mid/Short Term (5-11) / (Tier 2)
361981,PENTHOUSE SHORT TERM ADJ,Room rebate for Penthouse Short Term (1-4) / (Tier 1)
361981,STUDIO SHORT TERM ADJ,Room rebate for Studio Short Term (1-4) / (Tier 1)
361982,STUDIO SHORT TERM ADJ,Room rebate for Studio Short Term (1-4) / (Tier 1)
361983,PENTHOUSE SHORT TERM ADJ,Room rebate for Penthouse Short Term (1-4) / (Tier 1)
361984,STUDIO SHORT TERM ADJ,Room rebate for Studio Short Term (1-4) / (Tier 1)
361985,PENTHOUSE SHORT TERM ADJ,Room rebate for Penthouse Short Term (1-4) / (Tier 1)
361986,STUDIO SHORT TERM ADJ,Room rebate for Studio Short Term (1-4) / (Tier 1)
361998,CONTRACT SALES,Room rebate for corporate contract sales
510001,WAGE DEPT 01,Wage dollars for Supervisor-Front Office
510002,WAGE DEPT 02,Wage dollars for Supervisor / Team Lead-Housekeeping or Agent-At Your Service/Team Lead Hskp
510002,WAGE DEPT 02,Wage dollars for Guest Service Representative
510002,WAGE DEPT 02,Wage dollars for College Intern - FO
510003,WAGE DEPT 03,"Wage dollars for Housekeeper, Housekeeper-Pay Per Room, or Housekeeper-Self Inspector"
510003,WAGE DEPT 03,Wage dollars for College Intern - HK PPR
510004,WAGE DEPT 04,Wage dollars for Housekeeping Aide or Housekeeping Aide PM
510005,WAGE DEPT 05,Wage dollars for Supervisor-Laundry (Guest Linen)
510005,WAGE DEPT 05,Wage dollars for Attendant-Laundry (Guest Linen)
510007,WAGE DEPT 07,Wage dollars for Attendant-Gatehouse
510009,WAGE DEPT 09,Wage dollars for Supervisor-Housekeeping
510010,WAGE DEPT 10,Wage dollars for Housekeeper or Housekeeper-Pay Per Room
510010,WAGE DEPT 10,Wage dollars for College Intern - HK
510012,WAGE DEPT 12,Wage dollars for Attendant-Food & Beverage
510012,WAGE DEPT 12,Wage dollars for Attendant-Breakfast
510013,WAGE DEPT 13,Wage dollars for Inspector-Rooms
510017,WAGE DEPT 17,Wage dollars for Supervisor-Suite Care
510018,WAGE DEPT 18,Wage dollars for Housekeeper-General Clean/PM
510020,WAGE DEPT 20,Wage dollars for Supervisor-Guest Care
510021,WAGE DEPT 21,Wage dollars for Supervisor-Front Office or Supervisor-Operations (Front Office)
510022,WAGE DEPT 22,Wage dollars for Clerk-Reservations
510023,WAGE DEPT 23,Wage dollars for Attendant-Bellstand
510028,WAGE DEPT 28,Wage dollars for Guest Service Rep-PM
510028,WAGE DEPT 28,Wage dollars for Night Auditor
510029,WAGE DEPT 29,Wage dollars for Guest Service Representative - FO
510029,WAGE DEPT 29,Wage dollars for College Intern - FO
510032,WAGE DEPT 32,Wage dollars for HOUSEKEEPER - CONTRACT LABOR (Labor invoices coded here)
510034,WAGE DEPT 34,Wage dollars for LAUNDRY ATTENDANT - CONTRACT LABOR (Labor invoices coded here)
510035,WAGE DEPT 35,Wage dollars for Night Auditor
510036,WAGE DEPT 36,Wage dollars for OTHER HOURLY - CONTRACT LABOR
511001,OVERTIME PREMIUM,Overtime dollars for rooms department employees
520201,BUYOUT LABOR,Clearing account for Buy-Out Labor (BOL)
520202,LABOR SERVICE FEE,Gross Buy-Out Labor wages
530001,PETTY CASH NET PAY,Clearing account for Pay Adjustment Vouchers (PAV)
540201,EXECUTIVE BONUS,Quarterly bonus dollars for hourly associates
540204,HOUSEKEEPING INCENTIVE (BONUS),Housekeeping incentive payment for the STEPS program
560302,MISC. EMP BENEFITS,Miscellaneous benefits for rooms department employees (C-7 Use Only)
560504,HOLIDAY PAY MANAGEMENT,Wage dollars for Management Holiday Pay
580108,PAYROLL MISC CASH AWARDS,Miscellaneous payroll employee awards
580114,PAYROLL UNIFORMS,Miscellaneous payroll deduction for uniforms & safety shoes
582061,Workman's Comp Employee Premium,Workman's Comp Employee Premium (CORPORATE USE ONLY)
582071,Workman's Comp Deductible Current Yr,Workman's Comp Deductible Current Yr (CORPORATE USE ONLY)
582081,EPL Deductibles - Current Year,EPL Deductibles - Current Year (CORPORATE USE ONLY)
600508,REFERRAL COMMISSION,Cost of incentive discounts for gift certificates redeemed via MIFS system. Dollar Denominated Certificates. (SALT LAKE CITY USE ONLY)
601103,WELCOME BASKET,Cost of supplies included in Welcome Gift Baskets upon check-in.
601107,WALKED GUEST EXPENSE,Cost of walking a guest and cost of penalty associated with unavailable room type for MR member
601108,COMP CONTINENTAL BREAKFAST,Cost of complimentary breakfast supplies.
601109,COMPLIMENTARY EVENING FOOD,Cost of complimentary evening food supplies.
601110,COMPLIMENTARY EVENING BEVERAGE,Cost of complimentary evening beverage supplies.
602207,STEPS PROGRAM COMMISSIONS/SYSTEM (SPECIAL PROJECTS),Cost of STEPS program commssions and system related costs (Special Projects)
602301,MR MEMBER BENEFITS,Cost of Platinum Marquis gift program (MR 1st night gift water / snack / placemat)
602321,MR MEMBER PENALTY,Cost of penalty associated with unavailable room type for Platinum MR member
602321,MR MEMBER PENALTY,Cost of walking an Elite MR member
602321,MR MEMBER PENALTY,Cost of the penalty for not delivering the Platinum Marquis gift
602321,MR MEMBER PENALTY,Rebate for cost of CYC non walk guarantee.
602406,OUTSOURCED LAUNDRY,Cost of laundry service provided by an outside company (Edison Laundry)
605111,INCENTIVE DISCOUNT,Cost of incentive discounts for gift certificates redeemed
608102,OMAHA VARIABLE EXP,Cost of reservations for hotel (CORPORATE USE ONLY)
608103,WORLD WIDE RESERVATIONS,Cost of percentage of reservation costs (CORPORATE USE ONLY)
608104,ARSO RESERVATIONS,Cost of Area Reservations for hotel (CORPORATE USE ONLY)
608107,ARSO PHONE CHARGES,Cost of Area Reservations phone charges for hotel (CORPORATE USE ONLY)
608108,WORLD WIDE RESERVATIONS,Cost of 1-800 reservations (CORPORATE USE ONLY)
608109,CLUSTER RESERVATIONS,Cost of Cluster expenses (CORPORATE USE ONLY)
608201,TRAVEL AGENT EXPENSES,Cost of commissions paid to travel agents
608202,TRAVEL AGENCY SERVICES,Cost of CTAC service charges (CORPORATE USE ONLY)
608203,GROUP TRAVEL AGENT COMM,Cost of group travel agent commission
610105,LINEN,"Cost of linen, non-inventoried purchases and freight"
610106,CLEANING SUPPLIES,"Cost of cleaning supplies (brushes, detergents, floor polish, vacuum cleaners)"
610107,LAUNDRY SUPPLIES,Cost of chemicals necessary to operate laundry (Ecolab)
610108,MISCELLANEOUS OPERATING SUPPLIES,Cost of supplies for outside courts and games.
610122,COMP F & B SUPPLIES,Cost of supplies used for complimentary F & B service.
610125,ROOM UPKEEP SUPPLIES,"Cost of guest room supplies (guestroom lamps, pictures, wastebaskets, hangers, hairdryers, glassware and silverware in guestroom at extended stay properties)"
610126,ROOM APPLIANCES,Cost of small appliances and cookware in guestroom at extended stay properties
610201,GUEST SUPPLIES,"Cost of common room supplies to include irons, ironing boards, coffee maker, clocks, tissues, paper towels, notepads, toilet paper, and complementary coffee."
610201,GUEST SUPPLIES,Cost of market newspapers sold for guest convenience.
610201,GUEST SUPPLIES,"Cost of common room supplies to include irons, ironing boards, coffee maker, clocks, tissues, paper towels, notepads, toilet paper, bar soap and shampoo, dishwasher soap, jet dry, and complementary coffee."
610201,GUEST SUPPLIES,Cost of Coffee for Guest Rooms and Water in Exercise Room
610201,GUEST SUPPLIES,"Cost of first nighter kits given to guest upon check-in at extended stay properties (salt & pepper, popcorn, coffee, candy, filters, first Fire Logs)"
610414,USA TODAY - GUEST SUPPLY,"Cost of USA Today, Wall Street Journal and Local Newspapers"
610414,USA TODAY - GUEST SUPPLY,Cost of magazines and newspapers for gatehouse and guest rooms (USA Today)
610415,IN ROOM ENTERTAINMENT - CABLE FTG,Cost of FTG Cable in Lobby and Guest Rooms
610415,IN ROOM ENTERTAINMENT - CABLE FTG,Cost of Free To Guest in-room entertainment (Cable or OCV / Lodgenet programming)
615002,GUEST DRY CLEANING EXP,Cost of dry cleaning bedspreads and pillows
616104,STEPS START UP (PROF FEE MISC),Cost of PDQ STEPS program Implementation/start up
616211,OUTSIDE LABOR SERVICES,"Cost of non-routine (outside vendor) service for carpet, window, and drapery cleaning. (Cintas floor mat service, Fibercare, MarbleLife, etc.)"
652403,RECRUITING - OTHER,Cost of recruitment expenses (CORPORATE USE ONLY)
655601,TRAVEL OTHER,Miscellaneous travel related expenses
657021,VENDOR REBATES,"Vendor rebates, such as Avendra annual rebates (CORPORATE USE ONLY)"
657340,MYHR SERVICES,Cost of MyHr Services (CORPORATE USE ONLY)
660106,REVENUE MANAGEMENT,Cost of revenue management (CORPORATE USE ONLY)
664901,IN-HOUSE LAUNDRY,Cost of in-house laundry expenses.
690001,GENERAL EXPENSE,Miscellaneous incidental expenses
691005,PERMITS & LICENSES,Cost of Permit / License fees to Operate
988001,WAGE DEPT 01,Wage hours for Supervisor-Front Office
988002,WAGE DEPT 02,Wage hours for Supervisor-Housekeeping or Agent-At Your Service
988002,WAGE DEPT 02,Wage hours for Guest Service Representative
988002,WAGE DEPT 02,Wage hours for College Intern - FO
988003,WAGE DEPT 03,"Wage hours for Housekeeper, Housekeeper-Pay Per Room, Team Leader (Housekeeping), or Housekeeper-Self Inspector"
988003,WAGE DEPT 03,Wage hours for College Intern - HK
988004,WAGE DEPT 04,Wage hours for Housekeeping Aide or Housekeeping Aide PM
988005,WAGE DEPT 05,Wage hours for Attendant-Laundry (Guest Linen)
988005,WAGE DEPT 05,Wage hours for Supervisor-Laundry (Guest Linen)
988007,WAGE DEPT 07,Wage hours for Attendant-Gatehouse
988009,WAGE DEPT 09,Wage hours for Supervisor-Housekeeping
988010,WAGE DEPT 10,Wage hours for Housekeeper or Housekeeper-Pay Per Room
988010,WAGE DEPT 10,Wage hours for College Intern - HK
988012,WAGE DEPT 12,Wage hours for Attendant-Food & Beverage
988012,WAGE DEPT 12,Wage hours for Attendant-Breakfast
988013,WAGE DEPT 13,Wage hours for Inspector-Rooms
988017,WAGE DEPT 17,Wage hours for Supervisor-Suite Care
988018,WAGE DEPT 18,Wage hours for Housekeeper-General Clean/PM
988020,WAGE DEPT 20,Wage hours for Supervisor-Guest Care
988021,WAGE DEPT 21,Wage hours for Supervisor-Front Office or Supervisor-Operations (Job Function is Front Office)
988022,WAGE DEPT 22,Wage hours for Clerk-Reservations
988023,WAGE DEPT 23,Wage hours for Attendant-Bellstand
988028,WAGE DEPT 28,Wage hours for Guest Service Rep-PM
988029,WAGE DEPT 29,Wage hours for Guest Service Representative
988029,WAGE DEPT 29,Wage hours for College Intern - FO
988032,WAGE DEPT 32,Wage hours for HOUSEKEEPER - CONTRACT LABOR (Labor invoices coded here)
988034,WAGE DEPT 34,Wage hours for LAUNDRY ATTENDANT - CONTRACT LABOR (Labor invoices coded here)
988035,WAGE DEPT 35,Wage hours for Night Auditor
988036,WAGE DEPT 36,Wage hours for OTHER HOURLY - CONTRACT LABOR
988202,BUYOUT LABOR M-H,Gross Buy-Out Labor hours
999997,CONTROL MANHRS,Wage hours offset (hours for outside service invoices coded here)
351101,COURTYARD CLUB,Rebate for cost of CYC free fax and phone items.
351101,LOCAL TELEPHONE SALES,Local calls rebate from guest telephones
351101,LOCAL TELEPHONE SALES,Revenue for local calls from guest telephones for State Farm
351101,LOCAL TELEPHONE SALES,Revenue for local calls from guest telephones
351201,LONG DISTANCE TELEPHONE SALES,Disputed phone rebate
351201,LONG DISTANCE TELEPHONE SALES,Revenue for long distance calls from guest telephones
351201,LONG DISTANCE TELEPHONE SALES,Long distance calls rebate from guest telephones
351401,GUEST RM INTERNET REV,Revenue for expanded-bandwidth HSIA
351401,GUEST RM INTERNET REV,Expanded-bandwidth HSIA rebate
352011,FACSIMILE INCOME,Revenue for business center operations
380211,PAY PHONE COMMISSION,Commission for use of public phones and AT&T 0+
311101,RESI-DELI (NON-TAXABLE),Revenue for Non-Taxable Resi-Deli sales (FOR 57253 USE ONLY)
311101,RESI-DELI,Revenue for Resi-Deli sales (FOR 57253 USE ONLY)
314115,F&B PACKAGE REVENUE,Revenue allocation for breakfast packages (FOSSE entry)
314116,F&B PACKAGE EXPENSE,Rebate for breakfast expense from packages (FOSSE entry)
330001,CATALOG SALES INCOME,Commission from sales on shopmarriott.com
331002,MERCHANDISE NON-TAXABLE,Revenue for merchandise non-taxable
331010,PAPER GOODS,Revenue for gift shop - newspaper sales.
331020,TOBACCO,Revenue for gift shop - cigarette sales.
331050,GIFTS,Revenue for gift shop sales
331050,GIFTS,Gift shop rebate
331051,SOUVENIR,Revenue for gift shop - souvenir sales
331060,SALES - SUNDRY,Revenue for sundry items sold at Front Desk (non-Market items)
331201,GROCERY,Revenue for groceries
331201,GROCERY,Groceries rebate
350091,GUEST PARKING TRN,Revenue for garage parking (outside operated)
350091,GUEST PARKING TRN,Revenue for daily parking (outside operated)
350091,GUEST PARKING TRN,Revenue for valet parking (outside operated)
350091,GUEST PARKING TRN,Revenue for guest daily parking (hotel operated garage)
350091,GUEST PARKING TRN,Parking rebate
350103,FIRE LOG INCOME,Revenue for fire logs
350103,FIRE LOG INCOME,Fire logs rebate
351401,GUEST RM INTERNET REV,Revenue for internet access in public areas or printing charges from in-room internet access. (Part of iBahn invoice coded here.)
351401,GUEST RM INTERNET REV,Internet access rebate
353000,RENTAL REVENUE,Revenue for miscellaneous rentals
355020,AUDIO VISUAL,Revenue for RENTAL of audio visual sales (outside commission) Invoices coded to this account
361905,PROMOTIONAL REBATE,Rebate for Bonus Bucks promotion
380202,VENDING COMMISSIONS,Revenue for game room machines
380202,VENDING COMMISSIONS,"Commission from vending machines (candy, newspaper, etc.)"
380202,VENDING COMMISSIONS,"Income from vending machines (candy, newspaper, etc.)"
380202,VENDING COMMISSIONS,"Rebates from vending machines (candy, newspaper, etc.)"
380212,LAUNDRY/DRY-CLEANING COMM,Revenue for valet/laundry vendor (guest valet invoice coded here)
380214,TRANSPORT COMM,Revenue for transportation (escape packages)
380215,CAR RENTAL COMMISSION,Revenue for commission on car rental services (CORPORATE USE ONLY)
380233,OUTSIDE RESTAURANT COMMISSION,Revenue for outside restaurant sales commission
380289,MUSIC REVENUE,Revenue for in room music
380289,IN HOUSE MOVIE REVENUE,Revenue for in-room movies (On Command Video / Lodgenet / Spectradyne invoices coded here)
380289,VIDEO GAME REVENUE,Revenue for Video games
380289,IN HOUSE MOVIE REVENUE,On Command Video rebate
380289,MUSIC REVENUE,Rebate for in room music
380289,VIDEO GAME REVENUE,Rebate for Video games
390001,MISCELLANEOUS INCOME,Revenue for miscellaneous income - baggage handling
390001,MISCELLANEOUS INCOME,Revenue for miscellaneous income - rollaway bed rental
390001,MISCELLANEOUS INCOME,Revenue for miscellaneous income - Room Safe Rebate
390001,MISCELLANEOUS INCOME,Revenue for miscellaneous income - cigarettes
390001,COURTYARD CLUB,Rebate for cost of free fax items
390001,COURTYARD CLUB,Cost of CYC free items
390001,MISCELLANEOUS INCOME,Revenue for miscellaneous income - guest amenity
390001,MISC REVENUE - GOLF PASSES,Revenue for miscellaneous income - golf passes
390001,MISCELLANEOUS INCOME,Revenue for miscellaneous income - health club
390001,MISCELLANEOUS INCOME,Revenue for miscellaneous income - health spa voucher
390001,SMOKE FREE ENVIRONMENT CHARGE,"Revenue for Smoke Free Environment (carpet cleaning, drapes, upholstered furniture, wipe down surfaces, treat air)."
390001,MISCELLANEOUS INCOME,Revenue for miscellaneous income - late payment fees
390001,MISCELLANEOUS INCOME,Revenue for miscellaneous income - office rental
390001,MISCELLANEOUS INCOME,Revenue for miscellaneous income - sundry items
390001,MISC REVENUE - SKI PASSES,Revenue for miscellaneous income - ski passes
390001,MISCELLANEOUS INCOME,Slippage Revenue
390001,SAFE INCOME,Revenue for miscellaneous income - room safe
390001,MISCELLANEOUS INCOME,Revenue for miscellaneous income - ticket sales
390001,MISC REVENUE - TICKETS,Revenue for miscellaneous income - tickets
390001,MISC REVENUE - TRANSPORTATION,Revenue for miscellaneous income - transportation (Car Rental Expense)
390001,MISCELLANEOUS INCOME,Revenue for miscellaneous income - washer/dryer income
390001,SMOKE FREE ENVIRONMENT REBATE,Smoke Free Environment Rebate
390002,MISCELLANEOUS INCOME,Cancellation Fee Revenue
390014,SALES TAX DISCOUNT,Credit for government for miscellaneous tax reasons (CORPORATE USE ONLY)
390145,UTILITY CHARGE,Revenue for energy charge
390145,UTILITY CHARGE,Energy charge rebate
390202,PET CLEANING FEE,Nightly fee and non-refundable deposits for pets (Taxable)
390202,PET CLEANING FEE,Nightly fee and non-refundable deposits for pets (Non-Taxable)
490001,MISCELLANEOUS COST,Cost of guest grocery check lists
490001,MISCELLANEOUS COST,"Cost of vending merchandise (hotel owned machines), guest grocery check lists, and sundries sold at Front Desk (non-Market related)"
