Account,Name,Description
490001,MISCELLANEOUS COST,Cost of fire logs sold to guests (after initial fire log supplied by hotel).
490001,MISCELLANEOUS COST,Cost of vending merchandise (hotel owned machines)
490202,PET CLEANING COST,Cost of cleaning after a pet has occupied a suite
690001,GENERAL EXPENSE,Cost of Package Third Party Expense (Exceeding 10%)
350091,GUEST PARKING TRN,Revenue for guest garage parking (hotel operated garage)
350091,GUEST PARKING TRN,Revenue for guest garage parking (hotel operated garage)
350091,GUEST PARKING TRN,Parking rebate (hotel operated garage)
510016,WAGE DEPT 16,Wage dollars for Attendant-Parking
510016,WAGE DEPT 16,Wage dollars for Attendant-Bellstand/Valet
511001,OVERTIME PREMIUM,Overtime dollars
520201,BUYOUT LABOR,Clearing account for Buy-Out Labor (BOL)
520202,LABOR SERVICE FEE,Gross Buy-Out Labor wages
530001,PETTY CASH NET PAY,Clearing account for Pay Adjustment Vouchers (PAV)
560302,MISC. EMP BENEFITS,Miscellaneous benefits for parking department employees (C-7 Use Only)
580108,PAYROLL MISC CASH AWARDS,Miscellaneous payroll employee awards
652403,RECRUITING - OTHER,Cost of recruitment expenses (CORPORATE USE ONLY)
691008,PARKING EXPENSE,Cost of renting parking spaces including off property spaces
988016,WAGE DEPT 16,Wage hours for Attendant-Parking
988016,WAGE DEPT 16,Wage hours for Attendant-Bellstand/Valet
988202,BUYOUT LABOR M-H,Gross Buy-Out Labor hours (corporate use only)
999997,CONTROL MANHRS,Wage hours offset (hours for outside service invoices coded here)
690001,GENERAL EXPENSE,General expenses for hotel operation of parking garage
300602,AARP DISCOUNT,Restaurant AARP Discount (Micros entry)
300602,OPEN DISCOUNT,Cost of free breakfast promotion built into room rate
300611,ASSOCIATE DISCOUNT,Cost of food purchase - employee meals
311101,CONCEPT SALES,Revenue from Bistro Fresh Food sold in Market
311101,CONCEPT SALES,Revenue from Concept Sales
311120,COFFEE CONCEPTS SLS,Revenue from Starbucks Sales
314001,FOOD SALES,Revenue for bottled water
314002,MARKET FRESH FOOD,Revenue for Market fresh food
314002,MARKET FRESH FOOD,Market fresh food rebate
314003,MARKET PACKAGED FOOD,Revenue for Market packaged food
314003,MARKET FOOD & BEVERAGE,Revenue for Pantry beverage (non-alcoholic)
314003,MARKET PACKAGED FOOD,Market packaged food rebate
314003,MARKET FOOD & BEVERAGE,Pantry beverage rebate (non-alcoholic)
314004,MARKET FROZEN FOOD,Revenue for Market frozen food
314004,MARKET FROZEN FOOD,Market frozen food rebate
314011,RESTAURANT BREAKFAST,Revenue for breakfast sales (FOSSE Entry)
314011,RESTAURANT MISCELLANEOUS,Revenue for CMN Breakfast Campaign
314011,COURTYARD CLUB,Cost and rebate of CYC free dessert items
314011,RESTAURANT BREAKFAST,Breakfast sales rebate - restaurant food (FOSSE entry)
314011,RESTAURANT BREAKFAST,Revenue for breakfast sales (Micros entry)
314012,RESTAURANT LUNCH,Revenue for lunch sales (FOSSE entry)
314012,RESTAURANT LUNCH,Revenue for lunch sales (Micros entry)
314012,RESTAURANT LUNCH,Revenue for lunch sales - specials (Micros entry)
314013,RESTAURANT DINNER,Revenue for dinner sales (FOSSE entry)
314013,RESTAURANT DINNER,Revenue for dinner sales (Micros entry)
314013,RESTAURANT DINNER,Revenue for dinner sales - bar beverage (FOSSE entry)
314014,LATE SNACK,Revenue for room service sales - catering service (FOSSE entry)
314017,BANQUET COFFEE BREAK,Revenue for banquet food
314027,DINNER DELIVERY,Revenue for dinner delivery sales (Micros entry)
314041,BANQUET BREAKFAST,Revenue for breakfast sales - banquets
314042,BANQUET LUNCH,Revenue for lunch sales - banquet lunch
314043,BANQUET DINNER,Revenue for dinner sales - banquet dinner
314116,CUSTOMER DISCOUNT,Cost of free breakfast promotion built into room rate
324017,BEER,Revenue for beer sales - (Micros entry)
324018,WINE,Revenue for wine sales - (Micros entry)
324019,LIQUOR,Revenue for liquor sales - (Micros entry)
324027,MARKET BEER,Revenue for Market beer
324027,MARKET BEER,Market beer rebate
324028,MARKET WINE,Revenue for Market wine
324028,MARKET WINE,Market wine rebate
324029,MARKET LIQUOR,Revenue for Market liquor
324029,MARKET LIQUOR,Market liquor rebate
324039,HONOR BAR BEVERAGE,Revenue from honor bar beverage sales
324049,BANQUET BEVERAGE,Revenue for beverage sales - banquets
331001,MERCHANDISE,Revenue for merchandise - grocery (57136 & 57139 only)
331060,MARKET SUNDRIES,Revenue for Market sundries
331060,MARKET SUNDRIES,Market sundries rebate
354001,BANQUET SERVICE CHARGE,Revenue for banquet service charge
354007,BANQUET SERVICE CHARGE OFFSET,Banquet service charges paid out to associates
355020,AUDIO VISUAL,Revenue for audio visual - flip chart
355020,AUDIO VISUAL,Revenue for audio visual - hotel OWNED equipment
355020,AUDIO VISUAL,Revenue for audio visual - overhead
360001,BANQUET MEETING ROOMS,Revenue for rental of meeting room A
360001,BANQUET MEETING ROOMS,Revenue for rental of meeting room B
360001,BANQUET MEETING ROOMS,Revenue for rental of meeting room C
360001,BANQUET MEETING ROOMS,Revenue for rental of meeting room D
390001,OUTSIDE CATERING REVENUE,Revenue for catering in meeting rooms. Food brought in/delivered (prepared off property)
390001,OUTSIDE CATERING REVENUE,Revenue for miscellaneous income - membership income
390001,MISCELLANEOUS INCOME,Revenue for meeting room linen use
390001,MISCELLANEOUS INCOME,Revenue from prepared food purchased for catering purposes
390901,NON-TEFRA SALES,Gross receipts that cannot be claimed by any one server
390902,NON-TEFRA OFFSET,Offset for gross receipts that cannot be claimed by any one server
411120,COFFEE CONCEPTS SLS,"Cost to prepare Starbucks product (coffee, syrup, tea, creamice and sauces)"
414001,FOOD COST,Cost of food purchase - CYC dessert coupon
414001,FOOD COST,Cost of food purchase - breakfast coupon cost
414001,FOOD COST,Cost of food purchase - food purchase
414001,FOOD COST,"Cost of Food Purchases for Bistro, Banquets and in room Bottled Water"
414001,FOOD COST,Cost of Bottled Water
414046,MARKET FOOD COST,Cost of food and Non Alcoholic for resale at CFRST Markets
414047,VENDOR FOOD REBATES,"Vendor food rebates, such as Avendra annual rebates (CORPORATE USE ONLY)"
424017,BEER COST,Cost of Beer Purchases for Bistro
424017,BEER COST,Cost of beer purchases (For states requiring liquor break-out).
424018,WINE COST,Cost of Wine Purchases for Bistro
424018,WINE COST,Cost of wine purchases (For states requiring liquor break-out)
424019,LIQUOR COST,"Cost of wine, beer, liquor purchases - beverage inventory expense"
424019,LIQUOR COST,"Cost of wine, beer, liquor purchases - liquor & beverage cost"
424019,LIQUOR COST,Cost of Liquor Purchases for Bistro
424029,MARKET BEVERAGE COST,Cost of alcoholic beverages for resale at Markets
431060,MARKET OTHER COST,Cost of other Market purchases (sundry items)
455020,AUDIO VISUAL COST OF SALES,Cost of Audio Visual equipment for mark-up and charge to the guest
490001,OUTSIDE CATERING COSTS,Invoices from prepared food purchased for catering purposes. Cost for Outside Catering for food brought in / delivered to the Meeting room for group events
510009,WAGE DEPT 09,Wage dollars for Attendant-Cafeteria
510031,WAGE DEPT 31,Wage dollars for Attendant-Gourmet Coffee
510031,WAGE DEPT 31,Wage dollars for Gourmet Coffee Attendant
510034,WAGE DEPT 34,Wage dollars for Purchaser or Receiver
510036,WAGE DEPT 36,Wage dollars for OTHER HOURLY - CONTRACT LABOR
510040,WAGE DEPT 40,Wage dollars for Supervisor - Restaurant or Team Lead - Restaurant
510040,WAGE DEPT 40,Wage dollars for Supervisor-Food & Beverage
510041,WAGE DEPT 41,Wage dollars for Host / Hostess
510043,WAGE DEPT 43,Wage dollars for Server
510043,WAGE DEPT 43,Wage dollars for Lead Server
510043,WAGE DEPT 43,"Wage dollars for Trainee - Server, Server - PM, or College Intern - Restaurant"
510044,WAGE DEPT 44,Wage dollars for Attendant - Dining Room / Utility
510044,WAGE DEPT 44,Wage dollars for Attendant - Bar
510046,WAGE DEPT 46,Wage dollars for Server - Lounge
510047,WAGE DEPT 47,Wage dollars for Cook I
510047,WAGE DEPT 47,"Wage dollars for Supervisor - Kitchen, Cook - Lead, Cook II, or Cook - Prep"
510049,WAGE DEPT 49,Wage dollars for Dishwasher
510049,WAGE DEPT 49,Wage dollars for Dishwasher/Utility
510050,WAGE DEPT 50,Wage dollars for Supervisor Bistro
510053,WAGE DEPT 53,Wage dollars for Bistro Server Plus AM
510054,WAGE DEPT 54,Wage dollars for Bistro Server Plus PM
510056,WAGE DEPT 56,Wage dollars for Bartender
510056,WAGE DEPT 56,Wage dollars for Bartender - Lead
510072,WAGE DEPT 72,Wage dollars for Aide-Banquets or Attendant-Operations
510073,WAGE DEPT 73,Wage dollars for Captain-Banquet
510074,WAGE DEPT 74,Wage dollars for Server-Banquets
510074,WAGE DEPT 74,Wage dollars for Server-Banquets-Lead
510083,WAGE DEPT 83,Wage dollars for Server-Room Service
510503,SERVICE CHARGE DISTRIBUTION,"Distribution of Manditory, Non-Discretionary Service Charges"
511001,OVERTIME PREMIUM,Overtime dollars for restaurant department employees
520201,BUYOUT LABOR,Clearing account for Buy-Out Labor (BOL)
520202,LABOR SERVICE FEE,Gross Buy-Out Labor wages (non-Lynx code only)
530001,PETTY CASH NET PAY,Clearing account for Pay Adjustment Vouchers (PAV)
560302,MISC. EMP BENEFITS,Miscellaneous benefits for restaurant department employees (C-7 Use Only)
560504,HOLIDAY PAY MANAGEMENT,Wage dollars for Management Holiday Pay
580108,PAYROLL MISC CASH AWARDS,Miscellaneous payroll employee awards
582061,Workman's Comp Employee Premium,Workman's Comp Employee Premium (CORPORATE USE ONLY)
582071,Workman's Comp Deductible Current Yr,Workman's Comp Deductible Current Yr (CORPORATE USE ONLY)
582081,EPL Deductibles - Current Year,EPL Deductibles - Current Year (CORPORATE USE ONLY)
601111,GRATIS FOOD,Revenue for lunch sales - specials / test meals (Micros entry)
601111,GRATIS FOOD,"Cost of snack items given at no charge (fruit, candy, cookies, etc.)"
602406,OUTSOURCED LAUNDRY,Cost of laundry for Food & Beverage
606105,MENU PRINTING,"Cost of printing new menus, table tents, etc."
610100,CHINA,Cost of china purchases including lost or damaged items
610102,Silverware,Cost of silverware purchases including lost or damaged items
610103,MISC SERVICE EQUIP,"Cost of equipment necessary in prep & serving of food (pots, pans, serving spoons)"
610104,PAPER SUPPLIES,"Cost of paper supplies for F&B products (napkins, foil, cups, lids, sleeves and filters)"
610105,LINEN,Cost of linen for F&B area
610106,CLEANING SUPPLIES,Cost of supplies to keep F & B area clean (Ecolab)
610108,MISCELLANEOUS OPERATING SUPPLIES,Cost of miscellaneous operating and guest supplies for restaurant
610120,IN HOUSE AUDIO VISUAL SUPPLIES,"Cost of A/V Equipment or Supplies that do not meet CAPEX standards (microphones, tape for wires, flip-charts, etc.)"
610136,CLEAN SUPPLIES DISH ROOM,Cost of cleaning supplies for restaurant
610402,GLASSWARE,Cost of glassware purchases including lost or damaged items
652403,RECRUITING - OTHER,Cost of recruitment expenses (CORPORATE USE ONLY)
655601,TRAVEL OTHER,Miscellaneous travel related expenses
656003,CASHIER OVER/SHORTAGES,Restaurant room charge discrepancies
656003,CASHIER OVER/SHORTAGES,Restaurant room charge discrepancies
656003,CASHIER OVER/SHORTAGES,Restaurant room charge discrepancies
656003,CASHIER OVER/SHORTAGES,Restaurant room charge discrepancies
656003,CASHIER OVER/SHORTAGES,Restaurant room charge discrepancies
656003,CASHIER OVER/SHORTAGES,Restaurant room charge discrepancies
656003,CASHIER OVER/SHORTAGES,Restaurant room charge discrepancies
656003,CASHIER OVER/SHORTAGES,Restaurant room charge discrepancies
656003,CASHIER OVER/SHORTAGES,Restaurant room charge discrepancies
656003,CASHIER OVER/SHORTAGES,Restaurant room charge discrepancies
656009,MICROS SYSTEM IMBALANCE,Out of balance caused by MICROS
690001,GENERAL EXPENSE,Miscellaneous incidental expenses
691005,PERMITS & LICENSES,"Cost of permit / license fees to operate (ie., liquor license, etc)"
691022,MISC RESTAURANT TRANSFER,Room Charge Clearing Account
706001,ROYALTY FEE EXPENSE,Cost of royalty fees for restaurant
988009,WAGE DEPT 09,Wage hours for Attendant-Cafeteria
988031,WAGE DEPT 31,Wage hours for Attendant-Gourmet Coffee
988034,WAGE DEPT 34,Wage hours for Purchaser or Receiver
988036,WAGE DEPT 36,Wage hours for OTHER HOURLY - CONTRACT LABOR
988040,WAGE DEPT 40,Wage hours for Supervisor - Restaurant or Team Lead - Restaurant
988040,WAGE DEPT 40,Wage hours for Supervisor-Food & Beverage
988041,WAGE DEPT 41,Wage hours for Host / Hostess
988043,WAGE DEPT 43,Wage hours Server
988043,WAGE DEPT 43,Wage hours Lead Server
988043,WAGE DEPT 43,"Wage hours Trainee - Server, Server - PM, or College Intern - Restaurant"
988044,WAGE DEPT 44,Wage hours Attendant - Dining Room / Utility
988044,WAGE DEPT 44,Wage hours Attendant - Bar
988046,WAGE DEPT 46,Wage hours Server - Lounge
988047,WAGE DEPT 47,Wage hours for Cook I
988047,WAGE DEPT 47,"Wage hours for Supervisor - Kitchen, Cook - Lead, Cook II, or Cook - Prep"
988049,WAGE DEPT 49,Wage hours for Dishwasher
988049,WAGE DEPT 49,Wage hours for Dishwasher/Utility
988050,WAGE DEPT 50,Wage hours Supervisor Bistro
988053,WAGE DEPT 53,Wage hours Bistro Server Plus AM
988054,WAGE DEPT 54,Wage hours Bistro Server Plus PM
988056,WAGE DEPT 56,Wage hours for Bartender
988056,WAGE DEPT 56,Wage hours for Bartender - Lead
988072,WAGE DEPT 72,Wage hours for Aide-Banquets or Attendant-Operations
988073,WAGE DEPT 73,Wage hours for Captain-Banquet
988074,WAGE DEPT 74,Wage hours for Server-Banquets
988074,WAGE DEPT 74,Wage hours for Server-Banquets-Lead
988083,WAGE DEPT 83,Wage hours for Server-Room Service
999997,CONTROL MANHRS,Wage hours offset (hours for outside service invoices coded here)
510002,WAGE DEPT 02,Wage dollars for Telephone Operator - PBX
510003,WAGE DEPT 03,Wage dollars
510004,WAGE DEPT 04,Wage dollars
510009,WAGE DEPT 09,Wage dollars
510037,WAGE DEPT 37,Wage dollars
510088,WAGE DEPT 88,Wage dollars
510089,WAGE DEPT 89,Wage dollars
510099,WAGE DEPT 99,Wage dollars
510503,SERVICE CHARGE DISTRIBUTION,"Distribution of Manditory, Non-Discretionary Service Charges"
511001,OVERTIME PREMIUM,Overtime dollars (non-Lynx code only)
511001,OVERTIME PREMIUM,Overtime dollars
520001,MGMT SALARIES,Wage dollars for Managers
520201,BUYOUT LABOR,Clearing account for Buy-Out Labor (BOL)
520202,LABOR SERVICE FEE,Gross Buy-Out Labor wages
530001,PETTY CASH NET PAY,Clearing account for Pay Adjustment Vouchers (PAV) (Non-Lynx code only)
560302,MISC. EMP BENEFITS,Miscellaneous benefits for phone department employees (C-7 Use Only) (Non-Lynx code only)
560504,HOLIDAY PAY MANAGEMENT,Wage dollars for Management Holiday Pay
569001,EMPLOYEE FOOD,Cost of complimentary meals approved by GM
580108,PAYROLL MISC CASH AWARDS,Miscellaneous payroll employee awards
582071,Workman's Comp Deductible Current Yr,Workman's Comp Deductible Current Yr (CORPORATE USE ONLY)
582081,EPL Deductibles - Current Year,EPL Deductibles - Current Year (CORPORATE USE ONLY)
601101,Comp Services and Gifts,Cost of hosting local functions for benefit of hotel
601105,Entertainment In-House,Entertainment In-House
602406,Outsourced Laundry,Cost of laundry
606101,Printing and Stationery,Printing and Stationery
610108,Operating Supplies,Cost of miscellaneous operating and guest supplies
610112,Uniforms Costs,Cost of uniforms
610150,Uniform Laundry,Uniform Laundry
611001,Office Supplies,"Cost of printing, business cards and office stationary used by all departments"
613101,Equipment Rentals,Equipment Rentals
616104,Professional Fees,Cost of professional fees.
616211,Contract Services,Cost of professional fees.
617102,SW Misc Exp/Licenses,"Cost of computer maintenance, licenses and software"
617105,Global Field Systems,Allocation for Global Field Services/IR System Clusters
618001,LOCAL PHONE USAGE,"Cost of all other phone bill charges, typically equipment and maintenance related (Xeta and Nextira)"
618001,LOCAL PHONE USAGE,Rebate on admin phone usage (debit)
618001,Dept Phone Usage,Cost of telephone usage from admin extensions
618003,Property Voice Internet,Property Voice Internet
618004,Phone-Other,Phone-Other
618005,Telecomm Support,Telecomm Support
618006,Voice Mail Boxes,Voice Mail Boxes
618007,Phone Extensions,Phone Extensions
618010,LOCAL CALL COST,Rebate on Marriott Rewards guests local phone usage (credit)
618010,Local Calls Cost,Local Calls Cost
618011,LONG DISTANCE CALL COST,Rebate on long distance usage (credit)
618011,Long Distance Calls Cost,Long Distance Calls Cost
618012,Cost of Internet Services,Cost of Internet Services
618108,Communications Other,Communications Other
618115,INTERNET EXPENSE,Cost of high speed internet services provided free to the guest
618118,Cell Phones-Pagers,Cost of all cell phone and pager usage for property benefit.
618123,MI Connector,MI Connector
618129,Virtual Private Network,Cost of VPN charges and cost of computer data lines for MCN (CORPORATE USE ONLY)
630108,Micros Maintenance,Micros Maintenance
631112,PMS System,Cost of PMS Support (CORPORATE USE ONLY)
631170,Equipment Purchases,Equipment Purchases
631203,Mc - Systems Contracts,Cost of Micros and IBM maintenance contracts
631208,Cleaning Contract,Cleaning Contract
652101,Internal Training,"Cost of business meetings, conferences, or employee training"
652102,External Training,Cost of management conferences (brand cost and travel expenses) (CORPORATE USE Only)
652119,BUSINESS MEETINGS,Cost of business meetings and Annual Management Conference
652302,ASSOCIATE RELATIONS,Cost of associate relations programs and length of service awards.
655601,Travel - Other,Miscellaneous travel related expenses
655641,Travel - Meals,Travel related meals expense
655655,Travel -Lodging,Travel related lodging expense
655658,Travel -Air-Rail,Travel related airline/rail expense
655701,Local Travel-Misc,Miscellaneous local travel related expenses
655801,ENTERTAINMENT,Travel related entertainment of non-Marriott persons by hotel employees
657021,TELECOM REBATE,TELECOM REBATE
660102,Other Contr Transfers,Other Contr Transfers
664440,CTAC System,Cost of CTAC service charges (CORPORATE USE ONLY)
664501,Information Technology Support,Information Technology Support
664503,Mainframe Edp,Mainframe Edp
664511,Property IR,Property IR
664513,Desktop Svcs & Supp,Desktop Svcs & Supp
664517,Data Storage Usage,Data Storage Usage
664520,Desktop Imaging[NALO CFRST Only],Desktop Imaging
664522,Windows Unix Server Support,Windows Unix Server Support
664523,Email,Email
664525,Wireless Email,Wireless Email
664527,Print Usage[NALO FS-CFRST Only],Print Usage
664529,Trouble Tickets,Trouble Tickets
664530,Simphony GPOS,Simphony GPOS
664532,Marsha System - Property,Marsha System - Property
664533,F-B System,F-B System
664535,eFolio,Cost of emailing folios to guests
664542,The Source System,The Source System
664543,Data Storage System,Data Storage System
664544,Computer System Install,Computer System Install
664545,Property URL,Property URL
664546,Team Share,Team Share
664551,OSCAR System,Cost of Oscar system usage
664554,Sfa System,Sfa System
664555,Yield Management System,Yield Management System
664556,HQ LOCAL PHONE USAGE,Cost of quarterly Shared Tech Maintenance (Corporate Use Only)
664556,HQ Local Phone Usage[NALO CFRST Only],HQ Local Phone Usage
664562,SW Exp/Maint,SW Exp/Maint
664564,Full Svc Pc Help Desk Support,Full Svc Pc Help Desk Support
664566,Pc Engineering And Software,Pc Engineering And Software
664572,Consolidated Inv Operating Cos,Consolidated Inv Operating Cos
664573,Total Yield Operating Costs,Total Yield Operating Costs
664574,Consolidated Inv Development C,Consolidated Inv Development C
664575,CI-TY Program Charge,CI-TY Program Charge
664576,CI-TY System Charge,CI-TY System Charge
664577,Total Yield Development Costs,Total Yield Development Costs
664580,BPA Connector Fee,BPA Connector Fee
664901,IN-HOUSE LAUNDRY,Cost of in-house laundry expenses.
690001,Miscellaneous,Miscellaneous
691001,MISCELLANEOUS,Miscellaneous Expense
691003,Licenses - Fees,Licenses - Fees
691005,PERMITS & LICENSES,Cost of permit / license fees to operate
760599,Comp PR & Acctg Svc,Comp PR & Acctg Svc
988002,WAGE DEPT 02,Wage hours
988003,WAGE DEPT 03,Wage hours
988004,WAGE DEPT 04,Wage hours
988009,WAGE DEPT 09,Wage hours
988037,WAGE DEPT 37,Wage hours
988088,WAGE DEPT 88,Wage hours
988089,WAGE DEPT 89,Wage hours
988099,WAGE DEPT 99,Wage hours
988202,BUYOUT LABOR M-H,Gross Buy-Out Labor hours
999997,CONTROL MANHRS,Wage hours offset (hours for outside service invoices coded here)
510003,WAGE DEPT 03,Wage dollars for Specialist-Human Resources or Supervisor-Human Resources
510004,WAGE DEPT 04,"Wage dollars for Officer - Loss Prevention, Officer - Loss Prevention PM, or Team Lead - Loss Prevention"
510005,WAGE DEPT 05,Wage dollars for Attendant-Health Club
510005,WAGE DEPT 05,Wage dollars for Attendant-Pool
510005,WAGE DEPT 05,Pool Attendant
510006,WAGE DEPT 06,Wage dollars for Driver-Limousine/Van
510009,WAGE DEPT 09,"Wage dollars for Coord-Property, Admin Assistant, or Admin Assistant-Senior"
510032,WAGE DEPT 32,Wage dollars for SECURITY - CONTRACT LABOR (Labor invoices coded here)
510034,WAGE DEPT 35,Wage dollars for VAN DRIVER - CONTRACT LABOR (Labor invoices coded here)
510036,WAGE DEPT 36,Wage dollars for OTHER HOURLY - CONTRACT LABOR
510038,WAGE DEPT 38,Wage dollars for Admin Assistant or Coord-Property
510039,WAGE DEPT 39,Wage dollars for Officer-Loss Prevention PM or Officer-Loss Prevention
510044,WAGE DEPT 44,Wage dollars for Supervisor-Accounting or Clerk-Accounting
511001,OVERTIME PREMIUM,Overtime dollars for administrative department employees
520001,MGMT SALARIES,Wage dollars for all managers except Sales Manager and Chief Engineer
520201,BUYOUT LABOR,Clearing account for Buy-Out Labor (BOL)
520202,LABOR SERVICE FEE,Gross Buy-Out Labor wages
